[17-Sep-2013 15:01:33 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:33 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:33 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:33 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:33 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:33 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:33 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:33 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:33 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:34 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:34 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:34 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:34 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:35 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:35 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:35 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:35 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:35 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:35 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:35 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:35 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:35 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:35 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:35 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:35 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:35 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:35 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:35 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:35 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:37 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:37 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:37 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
[17-Sep-2013 15:01:37 UTC] PHP Warning:  Illegal string offset 'item_id' in C:\Program Files (x86)\EasyPHP-12.1\www\natural_europe_new\application\views\scripts\jsonplayer\scorm2\getjson.php on line 319
